dataset,rows
fuel_card_transactions,30
fuel_events,27
fuel_reconciliation,30
sensor_targets,7
navigation_problem_vehicles,6
problem_track_daily_stats,35
bo_sensor_graph_status,490
bo_sensor_graph_points,959782
bo_track_fetch_status,35
bo_track_points,81977
normal_vehicle_period_metrics,10
unmatched_source_vehicles,1
video_events_vehicles,21
video_events_selected_video_alarms,54
video_events_video_files,94
video_events_track_summary,54
video_events_track_periods,112
video_events_track_points,6635
video_events_max_speed_points,80
video_events_media_files,94
video_events_work_rest_single_vehicle_alarms,6
video_events_work_rest_single_vehicle_video_files,6
video_events_work_rest_single_vehicle_track_points,628
